label,rows,mae,rmse,mape,smape
ReadyMeal-Seg2,1490,3.6409274961914493,5.254916870845553,27.184646488022874,21.90943126477388
ReadyMeal-Seg3,743,3.5937117118696182,5.062305001501996,28.82325348286624,23.22124888575231
Milk-Seg3,1473,3.50526000142159,4.8334993089325415,30.859533326792736,24.001113923838037
Yogurt-Seg2,2165,4.232895839584827,6.024406698515235,31.068686381903166,24.442620766432512
SnackBar-Seg3,728,4.312993682397581,6.090993655097334,29.51592991277623,24.46678520847869
ReadyMeal-Seg1,1483,3.6971801446587014,5.048146394618981,33.13796787492187,24.730609545136943
Yogurt-Seg3,2925,4.297895989568306,6.178098277263111,30.544398573239505,24.758457852649613
Juice-Seg3,735,3.7274205988563747,5.11595765937376,31.614352139708934,24.93812620975178
Yogurt-Seg1,2919,4.34260574873047,6.145008400179357,33.38295087823206,25.072850891134372
SnackBar-Seg2,1470,5.018730002755351,7.063240910107839,31.280933442795657,26.039076992395284
Milk-Seg2,2957,5.260046017939536,7.530942160364913,30.78039316640678,28.750838549742326
SnackBar-Seg1,2163,6.265811176622448,8.53729598412311,34.818484115649525,28.878741884537945
Milk-Seg1,737,5.579234863001407,7.714193278114085,30.974003890200898,29.662187762393565
