label,rows,mae,rmse,mape,smape
ReadyMeal-Seg2,1490,4.069927313432205,6.285432489063089,25.534556212581265,23.335145721879524
ReadyMeal-Seg3,743,4.202857601714972,6.240895486297038,27.97563970937908,25.55613311673061
Juice-Seg3,735,4.108592349907187,6.034277608061774,29.043382068117555,26.25005191886608
Yogurt-Seg3,2925,4.748119132921257,7.104817025756267,29.45151549270941,26.39374079573164
Yogurt-Seg2,2165,4.787280899753119,7.023819747911037,29.916893523576142,26.39546697298251
Milk-Seg3,1473,4.034164133801869,5.825651527410364,28.75734331814261,26.53994251656841
ReadyMeal-Seg1,1483,4.177224291330302,6.087179611809221,29.636185305216962,26.747339640084274
Yogurt-Seg1,2919,4.843679120854799,7.221153685623635,30.031557082902587,26.796624756629978
SnackBar-Seg3,728,5.056205758766845,7.514407381649001,29.181281173695073,26.985714439880393
Milk-Seg2,2957,5.2142968365071845,7.555932680179232,28.074144320950516,27.682973763516483
SnackBar-Seg2,1470,5.461550869649328,7.532163100068943,30.401358526554052,28.926670440413606
SnackBar-Seg1,2163,6.7622160512938105,9.147506351478047,32.3466950115297,31.541917337750558
Milk-Seg1,737,5.979968170286397,8.361612935979077,30.551560749067935,31.853592370698202
