label,rows,mae,rmse,mape,smape
RE-017,745,3.7875301858296573,5.7618574406360645,23.74934322544189,22.038434409100706
YO-024,716,5.825050295675059,9.22248542869224,28.53512920473036,24.506128095429457
YO-009,736,4.5248451818998525,6.78053636015356,26.469049265734668,24.577803895173982
RE-004,745,4.352324441034754,6.7686277769520204,27.31976919972064,24.631857034658346
MI-008,734,5.419193062610259,7.7300617538662575,26.743079358855127,24.79410668761523
RE-007,749,4.067741191345383,5.692309393040318,26.544480821477606,24.871633831206758
MI-022,723,4.443102136086649,6.776539645632421,26.56903236069357,25.4876062919212
RE-025,743,4.202857601714972,6.240895486297038,27.97563970937908,25.55613311673061
YO-003,753,4.609439393775979,6.601086011738139,29.02100329321458,25.847841516217212
MI-026,751,4.417603078745845,6.547991970492012,28.26710933713517,25.904753038288398
YO-014,729,4.150190351425443,6.115159606920011,30.111717097784975,26.050417413480627
YO-012,731,4.543730324291536,6.724409159808438,29.730100166890118,26.122304152947617
MI-006,736,3.7174419806224956,5.438100492146855,27.61422349645238,26.134574753680255
YO-020,718,5.120016970303732,7.657744775385738,29.116944971558855,26.20655503161517
JU-021,735,4.108592349907187,6.034277608061774,29.043382068117555,26.25005191886608
YO-005,735,4.3190469412802965,6.224985460275345,29.667950513957088,26.717752317562177
YO-029,716,4.702268290824458,6.648581610032912,30.909783194087154,26.86379210614908
MI-023,737,4.350456541861595,6.188503166137075,29.898912095298662,26.94476025535495
SN-027,728,5.056205758766845,7.514407381649001,29.181281173695073,26.985714439880393
YO-001,730,4.390066568344626,6.6304489464802385,32.83132930770285,27.62066418057259
SN-010,738,5.491346920788213,7.654982045272985,28.996725257725164,27.79083904250288
YO-018,718,6.168753764852746,8.972169675195477,31.20902624377492,28.313998875388137
RE-015,734,4.2889447843666835,6.465305890654631,32.791071760694855,28.66137731154102
YO-016,727,4.430695766697215,6.057723200489347,30.137927182272723,29.1624830193241
SN-013,732,5.431510588583074,7.4062759013728625,31.817505182832363,30.071811931749824
SN-030,717,6.927459403368673,9.35851118909595,31.511653987420097,30.24213015357474
MI-002,737,5.979968170286397,8.361612935979077,30.551560749067935,31.853592370698202
SN-028,720,7.281408510972729,9.607144048202395,34.49555776262622,32.08653565469689
SN-019,726,6.084119557620952,8.44223422871025,31.040280732600067,32.28547411853942
MI-011,749,6.556749373921277,8.917422921920926,30.637937247905313,34.416115125761074
